Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Shant Sargsyan,160.37,0.25,26.53,9,6.5,161.1,0.14,2646.0,2758.0,436,5,4,5.18,7.62,0.25,64.5,0.15,0.14,0.39,162.92,157.18,3.5,3.0,2.27,58.03,0.19,0.17,0.41,0.06,4160.67
Vladislav Artemiev,160.36,0.15,4.61,9,6.0,160.5,0.12,2701.0,2599.0,348,5,4,4.52,1.68,0.13,1.09,0.15,0.15,0.16,160.74,159.88,4.0,2.0,1.37,2.83,0.16,0.01,0.09,0.02,1.18
Andrey Esipenko,160.33,0.41,22.92,9,7.5,160.6,0.36,2682.0,2866.0,470,5,4,11.63,5.28,0.35,28.1,0.15,0.25,0.62,162.78,157.28,4.5,3.0,3.72,27.91,0.16,0.08,0.28,0.12,789.5
Abdimalik Abdisalimov,158.92,0.31,7.42,9,6.0,160.0,0.07,2536.0,2676.0,401,5,4,4.17,6.81,0.41,5.99,0.07,0.19,0.46,161.6,155.57,3.5,2.5,2.76,46.43,0.13,0.13,0.37,0.17,35.83
A.R. Saleh Salem,156.92,0.34,8.73,9,6.5,161.2,0.36,2622.0,2690.0,444,4,5,6.12,10.13,0.37,10.47,-0.04,0.43,0.26,155.7,157.9,3.5,3.0,3.03,102.7,0.2,0.3,0.55,0.14,109.65
Mukhammadzokhid Suyarov,156.68,0.21,7.08,9,4.5,158.5,0.1,2466.0,2399.0,399,4,5,3.59,5.47,0.22,8.29,-0.05,0.18,0.23,154.85,158.14,2.0,2.5,1.89,29.97,0.05,0.09,0.29,0.05,68.74
Manuel Petrosyan,156.26,0.27,6.66,9,5.0,158.6,0.13,2612.0,2413.0,444,4,5,5.04,6.42,0.26,4.8,-0.07,0.4,0.17,157.72,155.08,3.0,2.0,2.42,41.17,0.06,0.12,0.35,0.07,23.01
Murali Karthikeyan,155.49,0.64,11.1,9,6.5,159.4,0.55,2637.0,2738.0,436,5,4,10.2,8.33,0.37,5.73,-0.11,0.7,0.57,155.78,155.12,4.0,2.5,5.76,69.38,0.1,0.2,0.45,0.14,32.78
Bharath_Subramaniyam H,155.23,0.33,-8.91,9,5.5,159.9,0.07,2561.0,2599.0,362,5,4,5.39,12.35,0.48,57.53,-0.12,0.09,0.62,161.64,147.22,3.5,2.0,2.97,152.47,0.13,0.44,0.66,0.23,3309.67
Ayush Sharma,154.67,0.45,25.46,9,5.0,158.2,0.38,2466.0,2529.0,323,4,5,9.93,7.47,0.28,107.43,-0.16,0.44,0.46,159.8,150.56,3.5,1.5,4.05,55.83,0.03,0.16,0.4,0.08,11541.55
Nodirbek Yakubboev,153.82,0.47,33.95,9,6.0,160.2,0.22,2668.0,2599.0,395,4,5,9.14,12.21,0.49,71.05,-0.2,0.58,0.39,156.62,151.58,3.5,2.5,4.27,149.1,0.14,0.44,0.66,0.24,5048.21
Vasyl Ivanchuk,153.57,0.46,6.42,9,5.5,159.3,0.18,2630.0,2530.0,343,4,5,5.69,12.94,0.53,3.32,-0.22,0.12,0.73,160.43,148.08,2.5,3.0,4.16,167.43,0.09,0.49,0.7,0.29,11.04
Haik M. Martirosyan,152.84,0.52,22.63,9,5.5,159.2,0.51,2656.0,2554.0,409,5,4,5.99,14.56,0.48,44.5,-0.25,0.46,0.6,158.9,145.28,4.0,1.5,4.67,212.14,0.09,0.62,0.78,0.23,1980.56
Ivan Zemlyanskii,152.4,0.61,59.8,9,6.0,161.4,0.12,2543.0,2673.0,496,5,4,10.32,14.49,0.73,154.17,-0.28,0.76,0.41,149.56,155.95,4.0,2.0,5.47,210.03,0.21,0.61,0.78,0.53,23769.09
Ngoc Truong Son Nguyen,152.28,0.44,7.38,9,5.5,159.1,0.08,2646.0,2519.0,333,4,5,8.25,18.72,0.71,5.05,-0.28,0.4,0.46,156.3,149.06,2.5,3.0,3.93,350.37,0.08,1.02,1.01,0.5,25.45
Nodirbek Abdusattorov,151.86,0.66,41.58,9,7.0,159.2,0.51,2777.0,2693.0,379,5,4,8.84,17.91,0.65,95.05,-0.31,0.95,0.3,144.54,161.0,4.0,3.0,5.95,320.86,0.09,0.93,0.97,0.42,9035.16
M. Amin Tabatabaei,151.74,0.63,10.6,9,6.0,159.0,0.59,2695.0,2615.0,403,4,5,8.33,13.54,0.5,8.03,-0.31,0.48,0.76,158.8,146.1,3.5,2.5,5.68,183.25,0.08,0.53,0.73,0.25,64.49
Khumoyun Begmuratov,151.39,0.43,24.25,9,5.0,158.5,0.52,2416.0,2419.0,415,5,4,7.77,10.96,0.38,35.88,-0.33,0.63,0.18,148.32,155.22,2.5,2.5,3.88,120.19,0.05,0.35,0.59,0.14,1287.54
Pouya Idani,151.26,0.72,39.68,9,6.0,158.2,0.71,2603.0,2678.0,510,5,4,7.72,12.58,0.64,63.97,-0.34,0.68,0.77,152.66,149.5,3.5,2.5,6.49,158.19,0.03,0.46,0.68,0.41,4092.17
Lorenzo Lodici,151.16,0.64,61.97,9,6.0,158.4,0.56,2564.0,2638.0,502,5,4,17.38,15.48,0.69,105.49,-0.35,0.55,0.74,150.92,151.45,2.5,3.5,5.74,239.49,0.04,0.7,0.83,0.47,11128.34
Hengyi Zhu,150.12,0.53,33.88,9,4.5,158.3,0.34,2361.0,2508.0,355,5,4,19.5,16.78,0.54,58.62,-0.4,0.32,0.78,153.46,145.95,2.0,2.5,4.74,281.45,0.04,0.82,0.9,0.29,3436.04
Zhihang Xu,150.07,0.58,6.5,9,5.0,158.2,0.62,2511.0,2428.0,331,5,4,5.12,13.31,0.52,4.36,-0.41,0.37,0.85,155.44,143.35,3.0,2.0,5.25,177.17,0.03,0.51,0.72,0.27,18.99
Raja_Rithvik R,150.01,0.64,10.45,9,5.0,158.2,0.61,2521.0,2573.0,370,5,4,7.65,16.38,0.65,6.64,-0.41,0.7,0.57,149.56,150.57,3.0,2.0,5.8,268.36,0.04,0.78,0.88,0.42,44.02
Sandipan Chanda,149.48,0.7,9.94,9,5.0,149.8,0.73,2480.0,2519.0,424,5,4,8.66,11.18,0.45,5.14,-0.44,0.67,0.73,147.5,151.95,2.5,2.5,6.26,124.96,-0.42,0.36,0.6,0.2,26.44
Nihal Sarin,149.46,0.65,19.9,9,6.0,160.2,0.29,2676.0,2642.0,503,5,4,5.68,31.78,1.2,42.04,-0.44,0.96,0.27,140.42,160.75,3.0,3.0,5.86,1010.13,0.14,2.93,1.71,1.43,1767.35
Stanislav Bukreev,149.32,0.52,48.04,9,4.5,158.1,0.53,2384.0,2391.0,329,4,5,8.75,13.91,0.35,106.57,-0.44,0.36,0.64,151.33,147.72,2.0,2.5,4.64,193.54,0.03,0.56,0.75,0.13,11356.14
Surya Shekhar Ganguly,148.98,0.74,59.28,9,5.5,154.9,0.82,2578.0,2571.0,375,5,4,24.4,11.7,0.35,93.34,-0.46,0.76,0.72,151.5,145.82,3.5,2.0,6.65,136.94,-0.15,0.4,0.63,0.12,8712.64
Vignesh_Advaith Vemula,148.78,0.43,49.92,9,4.5,155.5,0.56,2276.0,2388.0,370,5,4,10.3,13.61,0.51,114.45,-0.47,0.25,0.66,152.44,144.2,3.0,1.5,3.89,185.31,-0.11,0.54,0.73,0.26,13098.5
Sankalp Gupta,148.63,0.74,8.56,9,5.5,149.6,0.85,2545.0,2562.0,378,4,5,11.98,13.37,0.49,11.77,-0.48,0.71,0.77,147.28,149.72,2.5,3.0,6.7,178.81,-0.43,0.52,0.72,0.24,138.56
Narayanan_S L,148.41,0.66,9.81,9,5.5,159.2,0.26,2647.0,2565.0,414,4,5,6.09,20.43,0.72,8.74,-0.49,0.7,0.62,145.78,150.52,2.5,3.0,5.93,417.24,0.09,1.21,1.1,0.53,76.31
Goutham_Krishna H,148.13,0.77,10.96,9,5.0,152.2,0.77,2466.0,2533.0,467,5,4,8.77,14.33,0.44,8.35,-0.51,0.77,0.77,149.92,145.9,3.5,1.5,6.92,205.43,-0.29,0.6,0.77,0.19,69.69
Shamsiddin Vokhidov,148.01,0.74,41.0,9,5.5,156.6,0.71,2681.0,2586.0,419,4,5,9.97,17.88,0.72,89.42,-0.52,0.38,1.03,158.0,140.02,3.0,2.5,6.7,319.84,-0.05,0.93,0.96,0.52,7995.4
Luis Ernesto Quesada Perez,147.96,0.48,10.59,9,4.0,158.3,0.29,2564.0,2318.0,395,4,5,4.28,21.86,0.57,12.54,-0.52,0.71,0.29,142.3,152.48,1.5,2.5,4.29,478.04,0.04,1.39,1.18,0.33,157.29
Yueheng Jin,147.81,0.59,13.51,9,4.0,157.7,0.59,2309.0,2406.0,360,5,4,14.71,16.39,0.5,10.53,-0.53,0.55,0.65,153.12,141.18,3.0,1.0,5.33,268.69,0.01,0.78,0.88,0.25,110.82
Polina Shuvalova,147.51,0.73,51.07,9,5.5,149.0,0.55,2504.0,2523.0,492,4,5,9.21,13.97,0.52,78.6,-0.54,0.88,0.61,145.5,149.12,3.0,2.5,6.59,195.03,-0.46,0.57,0.75,0.27,6177.82
Erigaisi Arjun,147.46,0.86,12.65,9,7.0,159.9,0.31,2801.0,2784.0,399,5,4,8.17,26.78,0.91,9.18,-0.54,1.26,0.36,136.52,161.12,3.5,3.5,7.73,717.23,0.12,2.08,1.44,0.84,84.31
Prraneeth Vuppala,147.16,0.54,85.12,8,4.0,148.6,0.66,2461.0,2359.0,276,4,4,17.91,12.42,0.27,130.97,-0.56,0.42,0.67,146.0,148.32,2.0,2.0,4.36,154.23,-0.48,0.45,0.67,0.07,17154.42
Shyaam_Nikhil P,146.71,0.82,10.88,9,5.0,147.2,0.9,2445.0,2477.0,447,5,4,7.45,10.3,0.47,5.87,-0.59,0.82,0.82,144.2,149.85,2.0,3.0,7.35,106.11,-0.56,0.31,0.56,0.22,34.45
Jain_Kashish Manoj,146.58,0.73,11.5,9,5.0,158.3,0.63,2308.0,2470.0,368,4,5,9.77,17.4,0.53,8.47,-0.59,0.55,0.86,149.18,144.5,2.0,3.0,6.53,302.79,0.04,0.88,0.94,0.28,71.68
David George Samir,146.36,0.62,59.81,9,4.5,145.6,0.77,2272.0,2412.0,432,5,4,9.61,13.0,0.45,102.86,-0.6,0.63,0.61,145.38,147.57,2.5,2.0,5.58,169.02,-0.64,0.49,0.7,0.2,10581.09
Srihari_L R,146.34,0.85,67.18,9,6.0,148.9,0.72,2484.0,2562.0,503,4,5,16.62,15.82,0.65,76.9,-0.6,1.12,0.63,137.38,153.52,2.5,3.5,7.63,250.36,-0.47,0.73,0.85,0.42,5913.37
Garg Aradhya,146.16,0.59,45.72,9,4.0,148.7,0.74,2365.0,2407.0,536,4,5,8.86,15.19,0.43,70.8,-0.62,0.25,0.87,157.93,136.74,3.0,1.0,5.34,230.67,-0.48,0.67,0.82,0.18,5012.24
Pranesh M,146.04,0.92,16.19,9,6.0,145.9,0.5,2582.0,2649.0,372,5,4,15.14,14.25,0.74,7.67,-0.62,1.02,0.8,144.4,148.1,4.0,2.0,8.3,203.0,-0.63,0.59,0.77,0.54,58.81
Arseniy Shturman,146.01,0.69,11.4,9,4.0,154.7,0.6,2350.0,2423.0,538,5,4,5.74,21.79,0.6,16.09,-0.62,0.59,0.82,141.88,151.18,1.5,2.5,6.23,474.99,-0.16,1.38,1.17,0.36,258.86
Aslan Aitbayev,145.91,0.76,32.49,9,5.0,149.0,0.74,2369.0,2409.0,497,4,5,12.14,12.45,0.42,83.31,-0.63,0.73,0.78,149.18,143.3,2.5,2.5,6.82,155.12,-0.46,0.45,0.67,0.17,6941.06
Pham_Tran_Gia Phuc,145.89,0.75,48.77,9,5.0,139.9,0.51,2445.0,2430.0,405,4,5,16.32,13.28,0.61,69.21,-0.63,0.21,1.18,159.38,135.1,2.5,2.5,6.73,176.29,-0.95,0.51,0.72,0.38,4789.88
Artem Tyurin,145.83,0.81,41.08,9,4.5,156.1,0.54,2356.0,2465.0,396,5,4,11.5,16.13,0.58,90.54,-0.63,0.98,0.59,139.78,153.4,2.0,2.5,7.29,260.11,-0.08,0.75,0.87,0.34,8197.16
Gunay Mammadzada,145.48,0.77,14.72,9,4.5,156.8,0.93,2421.0,2351.0,373,4,5,11.38,18.75,0.48,11.96,-0.65,0.86,0.7,141.5,148.66,2.0,2.5,6.95,351.45,-0.04,1.02,1.01,0.23,143.1
Leya Garifullina,145.27,0.7,11.77,9,5.0,157.9,0.33,2451.0,2414.0,387,5,4,9.48,33.82,1.05,7.67,-0.66,1.02,0.31,138.04,154.3,3.5,1.5,6.34,1143.59,0.02,3.33,1.83,1.09,58.89
Sion Radamantys Galaviz Medina,145.07,0.86,14.14,9,5.5,157.6,0.88,2508.0,2487.0,422,5,4,12.85,23.17,0.66,8.59,-0.67,0.7,1.05,156.08,131.3,4.0,1.5,7.71,536.69,0.0,1.56,1.25,0.44,73.72
Arkadij Naiditsch,144.92,0.69,33.52,9,5.0,155.1,0.5,2636.0,2578.0,454,5,4,11.96,25.45,1.0,64.16,-0.68,0.26,1.24,156.6,130.32,3.0,2.0,6.24,647.9,-0.13,1.88,1.37,0.99,4116.37
Leon Luke Mendonca,144.9,0.76,10.58,9,6.0,139.0,1.1,2642.0,2604.0,466,4,5,10.53,17.73,0.65,4.06,-0.68,0.95,0.62,140.55,148.38,2.5,3.5,6.87,314.5,-1.0,0.91,0.95,0.42,16.47
Arsen Kukhmazov,144.27,0.63,65.78,9,4.5,157.8,0.57,2480.0,2389.0,369,4,5,13.38,20.41,0.56,107.2,-0.72,0.68,0.6,145.35,143.4,2.5,2.0,5.71,416.38,0.01,1.21,1.1,0.32,11490.93
Vivaan_Vishal Shah,143.78,0.72,42.44,9,5.0,140.6,0.53,2296.0,2443.0,362,5,4,20.56,18.09,0.61,63.07,-0.74,0.77,0.66,143.18,144.52,3.5,1.5,6.49,327.09,-0.92,0.95,0.98,0.37,3978.14
Mishra Swayams,143.51,0.8,49.1,9,4.5,152.8,0.48,2456.0,2375.0,490,4,5,8.13,18.23,0.71,114.71,-0.76,0.91,0.72,136.62,149.02,1.0,3.5,7.23,332.27,-0.26,0.96,0.98,0.51,13159.36
Ganzorig Amartuvshin,143.37,0.71,8.64,9,4.5,158.3,0.57,2392.0,2398.0,414,4,5,13.58,20.23,0.63,16.98,-0.77,0.87,0.58,141.78,144.64,2.5,2.0,6.41,409.38,0.04,1.19,1.09,0.4,288.43
Chen Zou,143.3,0.82,50.47,9,4.5,157.6,0.53,2449.0,2402.0,499,4,5,10.63,26.0,0.68,136.08,-0.77,0.74,0.88,144.57,142.28,2.5,2.0,7.39,675.84,0.0,1.96,1.4,0.46,18517.55
Arash Tahbaz,142.79,0.8,7.02,9,4.5,145.2,0.69,2432.0,2455.0,588,4,5,7.71,21.28,0.64,22.65,-0.8,0.62,0.95,146.38,139.92,2.0,2.5,7.2,452.9,-0.67,1.32,1.15,0.41,513.18
Mukhiddin Madaminov,142.79,0.98,13.14,9,5.5,151.0,0.85,2501.0,2600.0,429,5,4,14.78,18.28,0.84,7.73,-0.8,0.52,1.55,150.52,133.12,3.0,2.5,8.8,334.19,-0.35,0.97,0.99,0.71,59.79
Ethan Vaz,142.73,0.8,77.58,9,4.5,157.7,0.8,2378.0,2489.0,395,5,4,10.13,23.16,0.65,107.23,-0.8,0.68,0.94,153.0,129.9,4.0,0.5,7.17,536.42,0.01,1.56,1.25,0.42,11498.89
Nayak Rajesh,142.51,0.75,14.89,9,4.5,144.5,0.75,2292.0,2382.0,446,4,5,11.54,18.13,0.41,8.37,-0.81,0.65,0.83,146.0,139.72,3.0,1.5,6.78,328.53,-0.7,0.95,0.98,0.17,70.13
Adham Fawzy,142.46,1.0,58.82,9,5.0,146.6,1.01,2493.0,2529.0,377,5,4,12.95,18.91,0.53,110.85,-0.82,0.8,1.25,145.96,138.07,2.5,2.5,9.03,357.73,-0.59,1.04,1.02,0.28,12287.24
David Paravyan,142.36,1.03,80.07,9,6.0,143.9,1.03,2620.0,2613.0,486,5,4,26.3,20.1,0.87,95.2,-0.82,1.23,0.78,135.74,150.62,3.5,2.5,9.3,404.05,-0.74,1.18,1.09,0.76,9062.7
Asrorjon Omonov,142.14,0.87,58.02,9,5.5,144.8,0.85,2360.0,2481.0,439,4,5,11.96,16.46,0.7,97.48,-0.83,0.48,1.18,147.7,137.7,2.0,3.5,7.84,270.82,-0.69,0.79,0.89,0.48,9501.55
Moksh_Amit Doshi,141.92,0.8,13.79,9,4.0,134.5,0.81,2383.0,2435.0,370,5,4,14.68,15.95,0.61,7.52,-0.84,0.93,0.64,142.34,141.4,3.0,1.0,7.21,254.5,-1.24,0.74,0.86,0.37,56.54
Khagan Ahmad,141.69,0.84,24.55,9,5.0,136.7,0.89,2403.0,2433.0,569,4,5,13.78,14.59,0.64,49.34,-0.86,1.01,0.71,139.4,143.52,2.5,2.5,7.57,212.73,-1.13,0.62,0.79,0.41,2434.63
Khanim Balajayeva,141.56,0.67,90.05,9,2.5,138.3,0.58,2362.0,2310.0,392,5,4,29.73,19.42,0.54,165.9,-0.86,0.78,0.54,140.02,143.48,1.5,1.0,6.03,377.23,-1.04,1.1,1.05,0.29,27521.67
Artin Ashraf,141.54,0.92,14.09,9,5.0,142.8,0.89,2388.0,2556.0,417,5,4,9.76,20.4,0.58,10.91,-0.86,0.63,1.28,150.66,130.15,3.0,2.0,8.28,416.32,-0.8,1.2,1.1,0.34,119.05
