Player,avg_missed_points,avg_gi,avg_missed_points,TPR,total_game_count,Points,gi_median,missed_points_median,Elo,,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Mohd Al-Mudahka,1.15,132.4,1.15,2194,13,5,131.2,1.1,2418,,536,6,7,28.16,15.1,0.55,71.82,-1.35,1.06,1.22,140.9,125.2,3.5,1.5,14.9,227.96,0.3,5158.5
Viktor Erdos,1.31,132.2,1.31,2417,13,9,150.6,1.12,2590,,601,7,7,23.94,30.67,1.01,107.5,-1.37,1.31,1.11,133.7,130.7,4.5,2,16.98,940.94,1.03,11556.21
Jules Moussard,1.21,132.2,1.21,2468,14,6.5,134.1,0.94,2663,,610,6,7,21.41,42.13,1.21,59.83,-1.37,2.13,0.61,108.3,152.7,4.5,4.5,17,1774.73,1.46,3579.87
Ulziikhishig Khishigbat,1.15,132.2,1.15,2257,12,8.5,155,0.92,1957,,514,6,6,20.51,38.44,1.01,222.4,-1.37,0.78,1.53,147.4,117,5,3.5,13.85,1477.41,1.02,49462
Jose Carlos Ibarra Jerez,1.08,132.1,1.08,2337,12,5.5,148,1.02,2600,,610,7,5,13.8,32.25,1.05,13.76,-1.37,0.94,1.28,137.7,124.3,3.5,2,12.98,1039.98,1.11,189.36
Nihal Sarin,1.39,131.9,1.39,2600,18,10.5,141.1,1.28,2695,,903,10,8,23.28,31.18,0.98,128.57,-1.39,1.27,1.53,138,124.1,6.5,4,24.94,972.15,0.95,16528.97
Atharvaa_P Tayade,1.08,131.6,1.08,1934,21,16.5,157.6,0.57,1920,,786,9,12,17.92,47.83,1.27,137.13,-1.4,0.6,1.44,148.3,119.1,8,8.5,22.74,2287.35,1.6,18804.39
Nigel D Short,1.12,131,1.12,2339,14,6,133.8,1.01,2551,,610,7,7,30.68,28.22,0.82,128.92,-1.44,0.8,1.45,145.5,116.4,5,1,15.74,796.37,0.67,16620.54
Bella Khotenashvili,1.16,130.9,1.16,2267,12,9,154,1.02,2346,,518,6,6,26.6,43.82,1.08,96.97,-1.44,1.14,1.17,131.3,130.5,5,4,13.88,1920.13,1.16,9404.05
Augustin Madan,1.3,130.8,1.3,2338,9,3,133.8,1.39,2176,,299,4,5,28.39,11.74,0.51,8.43,-1.44,1.37,1.23,129,132.2,1.5,1.5,11.66,137.91,0.26,71.13
Stavroula Tsolakidou,1.18,130.7,1.18,2327,22,15.5,147.9,0.98,2361,,913,12,10,19.4,33.97,1.01,139.08,-1.45,1.15,1.2,127.7,134.2,7.5,8,25.87,1154.21,1.02,19343.65
Turmunkh Munkhzul,1.28,130.5,1.28,2386,13,9,135.4,1.21,2260,,547,7,6,41.98,29.85,0.95,115.93,-1.46,1.38,1.16,122.2,140.2,4,5,16.64,890.95,0.9,13439.32
Arthur Kogan,0.98,130.5,0.98,2219,12,2.5,135.3,0.74,2488,,455,6,6,17.14,29.31,1.02,87.88,-1.46,0.79,1.17,134.5,126.5,1,1.5,11.76,859.08,1.03,7722.16
Aaravamudhan Balaji,1.11,130.2,1.11,2272,12,6.5,148.2,1.04,2312,,657,7,5,15.2,40.8,1.26,63.36,-1.48,0.98,1.28,131.7,128.1,3.5,3,13.28,1664.28,1.58,4014.92
Bat-Erdene Mungunzul,1.29,130,1.29,2338,12,7.5,133.5,1.27,2279,,694,6,6,27.98,28.41,0.96,54.46,-1.48,1,1.57,141.8,118.3,4,3.5,15.46,806.95,0.92,2965.4
Vidar Grahn,1.01,129.8,1.01,2207,13,3,133,0.83,2162,,446,7,6,30.13,23.98,0.64,77.68,-1.5,0.71,1.36,142.2,115.2,2,1,13.14,575.17,0.41,6034.83
Divya Deshmukh,1.37,129.5,1.37,2403,20,15.5,150.9,1.09,2343,,976,10,10,29.28,43.35,1.23,139.55,-1.51,1.8,0.94,115.2,143.9,7.5,8,27.45,1879.4,1.52,19474.63
Zhandos Agmanov,1.1,129.5,1.1,2335,9,4.5,129.9,1.14,2433,,491,6,3,19.7,28.65,0.95,73.05,-1.51,0.84,1.63,137.6,113.3,3.5,1,9.93,820.6,0.91,5336.38
Maxim Rodshtein,1.1,129.4,1.1,2277,12,3,141.4,0.71,2533,,520,6,6,14.46,32.45,0.91,10.15,-1.52,1.32,0.88,123.3,135.5,1,2,13.22,1053.2,0.83,103.08
Ranesh Ratnesan,1.21,129.3,1.21,2289,12,5.5,133.6,0.84,2137,,601,6,6,28.86,36.59,1.07,178.16,-1.52,1.38,1,119.4,139.2,3,3,14.31,1338.76,1.15,31741.73
Munguntuul Batkhuyag,1.19,129.3,1.19,2293,12,6,144,0.9,2282,,517,6,6,25.88,33.22,0.87,89.56,-1.52,1.19,1.24,130.6,128.1,3.5,2,14.53,1103.37,0.76,8020.73
Adithya Vaidyanathan,1.36,129,1.36,2240,9,7,137.9,1.3,1825,,384,5,4,31.27,33.47,0.92,87.11,-1.54,1.09,1.68,140.6,114.4,4,3,12.21,1120.33,0.85,7588.17
Marcos Camacho Collados,1.15,128.9,1.15,2257,12,6,138.9,0.67,2340,,585,7,5,25.4,35.44,1.12,290.11,-1.54,0.94,1.46,139.4,114.2,4,2,13.85,1255.82,1.26,84164.87
Ritvars Reimanis,1.43,128.6,1.43,2399,12,6.5,124.9,1.15,2252,,618,6,6,68.34,19.73,0.78,157.69,-1.56,0.84,2.02,143.4,113.9,2.5,4,17.18,389.27,0.62,24866.63
Marco Gallana,1.26,128.5,1.26,2388,10,3.5,130.6,1.19,2280,,391,6,4,23.6,23.01,0.78,12.63,-1.56,1.19,1.36,129.2,127.6,2,1.5,12.55,529.38,0.61,159.47
Lucas Torres,0.92,128.5,0.92,1813,12,5,129.2,0.76,1900,,511,7,5,40.34,30,0.85,249.76,-1.57,1.09,0.69,123.9,134.8,3,2,11.06,900.25,0.72,62377.89
Miaoyi Lu,1.23,128.4,1.23,2180,12,7.5,139.8,1.16,2124,,438,6,5,27.76,25.49,0.72,93.92,-1.57,1.29,0.88,126.2,131,2,0,12.1,649.86,0.51,8820.72
David Zakarian,1.1,128.4,1.1,2189,11,2,127.3,1.41,2286,,491,6,6,22.9,32.71,0.92,168.53,-1.58,1.57,0.9,112.3,144.4,2.5,5,14.81,1070.25,0.84,28403.05
Thomas Villiers,1.04,128.3,1.04,2157,10,2,129.8,0.88,2126,,497,4,6,191.9,24.71,0.6,116.06,-1.58,0.76,1.22,137.6,122,1,1,10.37,610.51,0.36,13470.85
Eric Hansen,1.34,128.2,1.34,2517,12,7,138.8,1.12,2549,,464,6,6,21.01,38.24,1.23,75.01,-1.58,1.15,1.53,132.9,123.5,4,3,16.05,1462.14,1.51,5627.2
Robert Kohlmann,1.05,127.9,1.05,2196,11,2,133,0.86,2026,,305,6,5,34.71,26.49,0.65,129.85,-1.6,0.95,1.18,133.9,120.8,1,1,11.6,701.91,0.42,16860.72
Patryk Cieslak,1.38,127.4,1.38,2324,14,9.5,137.7,1.36,2324,,650,8,6,35.52,33.55,0.99,92.31,-1.63,1.18,1.65,134,118.4,6,3.5,19.34,1125.55,0.97,8521.61
Khuyagtsogt Itgelt,1.57,127.3,1.57,2570,12,10,133.2,1.6,2272,,588,6,6,20.17,26.97,0.98,21.04,-1.63,1.4,1.73,132.9,121.7,5.5,4.5,18.79,727.27,0.95,442.65
Mei-En Emmanuelle Hng,1.29,127.3,1.29,2182,13,8.5,124.6,0.94,2062,,479,6,7,59.18,30.98,0.98,143.01,-1.63,0.75,1.75,146.5,110.8,5,3.5,16.74,959.76,0.95,20451.09
Islam Aiten,1.24,127.2,1.24,1965,22,16,155,0.97,1929,,876,11,11,25.33,44.99,1.31,217.19,-1.64,1.03,1.46,137.6,116.8,10,6,27.34,2023.97,1.71,47171.47
Mikkel Manosri Jacobsen,1.45,126.8,1.45,2396,12,6.5,133.6,1.15,2254,,446,6,6,35.78,29.97,1.16,106.37,-1.66,1.42,1.47,129.2,124.3,4.5,2,17.34,898.27,1.34,11313.84
Noam Sason,1.17,126.8,1.17,2199,12,4,127.2,1.14,2088,,494,6,6,32.58,29.7,0.91,163.23,-1.66,1.46,0.89,121,132.5,2,2,14.07,881.9,0.83,26644.84
Gennadie Slavin,1.07,126.8,1.07,2164,11,4,140.9,0.78,2207,,396,8,3,35.77,38.6,0.95,100.94,-1.66,1,1.26,128.2,122.9,3,1,11.78,1490.06,0.9,10188.22
Rhys Cumming,0.98,126.8,0.98,1965,8,1,139.9,0.65,2208,,336,3,5,34.7,31.83,0.81,177.47,-1.66,1.56,0.64,111.5,136,1,0,7.87,1012.91,0.66,31497.18
Livio Cancedda-Dupuis,1.17,126.5,1.17,2248,13,3.5,133,0.83,2145,,730,6,7,118.17,34.31,0.93,148.02,-1.68,1.28,1.07,124,128.5,1.5,2,15.17,1177.27,0.87,21909.37
Ugur Barkin Tahaoglu,1.23,126.4,1.23,2213,11,4.5,133.3,0.85,1890,,449,5,6,26.67,32.25,0.78,82.11,-1.68,1.53,0.97,120,131.8,3.5,1,13.49,1040.05,0.61,6741.74
Carmel Barwick,1.25,126.2,1.25,1885,8,5,130.5,1.4,1837,,328,4,4,109.86,33.86,0.92,217.45,-1.69,0.93,1.58,142,110.3,3,2,10.04,1146.68,0.85,47284.21
Alexander Moiseenko,1.59,125.9,1.59,2493,10,5,129.6,1.42,2530,,582,6,6,27.1,29.03,1.06,129.19,-1.71,1.66,1.42,123.4,128.4,4.5,3,18.48,842.52,1.12,16689.49
Faustino Oro,1.54,125.9,1.54,2521,12,7.5,126.4,1.63,2463,,582,5,5,30.34,30.43,0.97,135.86,-1.71,2.23,0.95,110,141.8,2,3,15.9,926.18,0.95,18457.3
Xeniya Balabayeva,1.48,125.8,1.48,2333,10,8,155.8,0.74,2285,,444,4,6,17.98,55.31,1.74,112.58,-1.72,0.55,2.09,157.8,104.4,4,4,14.75,3059.09,3.01,12675.27
Rasmus Skytte,1.43,125.7,1.43,2346,13,5.5,132.4,1.31,2408,,489,7,6,36.61,25.63,1.02,119.23,-1.72,1.61,1.22,129.3,121.6,4.5,1,18.54,657.04,1.03,14215.46
Harold Wanyama,1.41,125.3,1.41,2220,12,6,117.5,1.62,2179,,489,6,6,22.91,23.43,0.62,11,-1.74,1.22,1.6,132.2,118.4,4,2,16.93,548.81,0.39,121.08
David L Haydon,1.43,125.1,1.43,2351,12,7,126.8,1.47,2335,,754,6,6,17.78,34.51,1.2,70.33,-1.75,0.74,2.12,142.1,108.2,3,4,17.12,1190.73,1.45,4946.42
Stanley Badacsonyi,1.48,125,1.48,2376,11,6,130.7,1.13,2376,,472,4,7,28.03,35.8,0.84,186.1,-1.76,1.78,1.31,109.7,133.7,1,5,16.27,1281.29,0.7,34633.75
Dmitry Atlas,1.27,125,1.27,2063,9,4,132.7,0.95,2107,,284,6,3,37.63,26.84,0.8,197.53,-1.76,1.24,1.31,126.2,122.5,3,1,11.41,720.29,0.63,39017.21
Yuri Dr Agafonov,1.26,125,1.26,2020,12,4.5,134.6,1.06,2045,,479,6,6,28.98,40.88,1.27,18.48,-1.76,1.3,1.22,128.7,121.3,3,1.5,15.13,1671.2,1.61,341.34
Roman Shogdzhiev,1.49,124.7,1.49,2395,11,6.5,126.8,1.15,2390,,581,5,6,23.93,32.83,1.19,123.94,-1.77,1.65,1.35,128,122,4,2.5,16.35,1077.66,1.4,15360.29
Alexander Shabalov,1.24,124.5,1.24,2277,10,4.5,138,0.92,2448,,390,5,5,25.51,42.26,1.26,103.36,-1.79,0.61,1.88,147.4,101.5,3.5,1,12.43,1786.24,1.58,10682.36
Dimitrios Levon Zakarian,1,124.5,1,1984,11,1.5,126.2,0.91,1986,,347,3,8,32.67,29.92,0.84,76.86,-1.78,1.12,0.95,117.9,126.9,0,1.5,10.96,895.33,0.71,5907.6
Artjom Gurevich,1.21,124.4,1.21,2128,13,3,129.4,0.92,2183,,486,6,7,40.52,32.13,1.06,105.86,-1.79,1.01,1.39,133.5,116.5,2,1,15.79,1032.11,1.12,11206.43
Afruza Khamdamova,1.24,124.3,1.24,2262,12,7,141.2,1.18,2268,,556,5,7,24.96,48.39,1.27,74.89,-1.79,0.95,1.44,139.9,113.2,4,3,14.83,2341.88,1.62,5608.35
Irina Bulmaga,1.52,124.2,1.52,2321,11,7.5,135,0.91,2221,,536,5,6,19.39,35.32,1.14,122.22,-1.8,0.92,2.02,141.3,109.9,3,4.5,16.76,1247.53,1.31,14937.74
Natasha K Regan,1.33,124.1,1.33,1823,12,8.5,140,1.07,1842,,411,5,7,34.65,23.78,0.67,88.56,-1.8,1.12,1.23,127.8,121.5,2,1,14.23,565.62,0.45,7842.05
Balahari Bharat Kumar,1.19,124.1,1.19,2156,12,3,128.5,1.18,2005,,456,6,6,29.26,45.6,1.34,110.55,-1.8,1.37,1.28,126.9,121.3,5,3.5,15.94,2079.74,1.8,12220.97
Nicolai Kistrup,1.37,124,1.37,2225,13,4.5,131,1.18,2292,,604,6,7,34.62,26.51,0.69,89.12,-1.81,1.41,1.33,117.5,129.6,0.5,4,17.78,702.83,0.47,7941.97
Sarah N Longson,1.06,123.8,1.06,1845,12,1.5,132.6,0.77,2043,,375,5,7,26.12,25.79,0.7,95.19,-1.82,0.82,1.22,136.8,114.4,1.5,0,12.67,665.25,0.5,9061.51
Theo Khoury,1.34,123.7,1.34,2281,11,2.5,125.4,1.07,2157,,483,5,6,42.38,23.81,0.85,96.21,-1.83,1.76,0.99,114.3,131.4,2.5,0,14.71,566.72,0.72,9256.17
Dinara Wagner,1.33,123.7,1.33,2262,13,5.5,125,0.99,2396,,606,6,7,29.59,34.52,1.02,153.06,-1.83,1.12,1.51,132.5,116.1,2.5,3,17.32,1191.31,1.03,23428.52
Fy Antenaina Rakotomaharo,1.62,123.6,1.62,2416,12,5.5,125.8,1.48,2435,,592,6,6,27.48,24.97,1,60.42,-1.83,1.69,1.55,126.9,120.4,3.5,2,19.44,623.5,0.99,3650
Stepan Zaiarski,1.46,123.6,1.46,1917,14,8.5,122.6,1.27,1950,,640,7,7,171.67,32.94,0.76,133.22,-1.83,1.53,1.39,121.3,125.8,4.5,4,20.4,1084.94,0.57,17746.32
Qixuan Han,1.16,123.4,1.16,1651,13,5.5,127.9,1.09,1785,,550,6,7,141.93,33.77,0.91,156.98,-1.84,1.2,1.13,119.6,126.7,2.5,3,15.14,1140.42,0.83,24644.1
Jonas Buhl Bjerre,1.42,123.3,1.42,2420,12,5.5,135.9,1.08,2527,,559,6,6,28.84,36.86,1.08,48.1,-1.85,1.14,1.7,131.6,115,3,2.5,17.04,1358.57,1.18,2313.29
Gulrukhbegim Tokhirjonova,1.34,122.8,1.34,2102,8,4,134.2,1.18,2110,,357,5,3,55.82,40.76,1.15,187.16,-1.88,1.31,1.37,117.4,131.8,1,3,10.68,1661.52,1.33,35027.82
Sohum Lohia,1.29,122.7,1.29,2189,12,4.5,129.4,1.27,2211,,678,6,6,41.4,30.72,0.93,107.32,-1.88,1.05,1.53,126.6,118.8,2.5,2,15.48,943.94,0.87,11517.26
Changjie Zhang,1.2,122.5,1.2,1588,15,4.5,131.4,1.07,1657,,558,8,7,140.81,26.8,0.72,156.18,-1.89,1.2,1.19,123.2,121.7,3,1.5,17.93,718.12,0.51,24392.89
Marius Fromm,1.41,122.3,1.41,2362,12,4.5,137,1,2491,,680,6,6,17.95,39.95,1.43,71.25,-1.9,1.55,1.27,120.6,124,2.5,2,16.94,1595.63,2.05,5076.1
Carlos D. Schneider Sanchez,1.11,122.3,1.11,1896,10,0.5,133.4,0.72,1969,,340,5,5,31.01,27.65,0.72,151.85,-1.9,1.15,1.07,123.8,120.7,0.5,0,11.14,764.75,0.52,23058.71
Jan Murawski,1.32,122.2,1.32,2209,10,1.5,126.6,1.06,2132,,458,4,6,27.65,24.35,0.67,81.12,-1.91,0.85,1.63,139.5,110.6,1,0.5,13.19,593.15,0.45,6579.65
Rajko Vujatovic,1.23,122.2,1.23,2058,12,2,127,1.01,2122,,502,6,6,30.36,27.29,0.9,188.23,-1.9,1.21,1.25,122.6,121.9,1,1,14.74,744.63,0.81,35429.15
Dagur Ragnarsson,1.35,122.1,1.35,2162,12,3,132.6,1.35,2365,,590,6,6,27.29,26.92,0.69,169.66,-1.91,1.63,1.07,118,126.1,2,1,16.2,724.69,0.47,28783.15
Emir Beknazarov,1.1,122.1,1.1,2138,12,2,126.6,1.03,1969,,427,6,6,37.16,33.82,0.95,93.93,-1.91,1.46,0.74,109.3,134.9,1,1,13.2,1144.1,0.89,8822.08
Jakub Seemann,1.64,121.9,1.64,2353,15,9,127.7,1.3,2379,,846,7,8,24.78,28.5,0.89,89.64,-1.92,1.85,1.47,112.9,129.8,3.5,5.5,24.67,812.34,0.78,8035.93
Ashley Stewart,1.42,121.9,1.42,2103,8,2,123.2,1.25,2097,,321,4,4,36.4,20.04,0.57,130.05,-1.92,1.2,1.62,132.7,111.1,1.5,0.5,11.32,401.45,0.33,16914.29
Hayk Mesropyan,1.34,121.9,1.34,1958,11,5.5,138.5,0.68,1866,,483,3,8,23.93,64.11,1.95,175.06,-1.92,2.53,0.89,85.2,135.7,2.5,3,14.7,4110.73,3.81,30647.16
Jonas Eilenberg,1.45,121.8,1.45,2384,12,4.5,129.6,1.44,2379,,685,6,6,34.97,34.79,1.02,121.03,-1.93,1.88,1.01,109.8,133.9,3,1.5,17.39,1210.4,1.03,14648.07
Johannes Florstedt,1.14,121.8,1.14,2018,12,2,129.1,1.14,2299,,536,6,6,29.68,39.5,1.07,140.44,-1.93,0.98,1.3,129.6,114,2,0,13.69,1560.05,1.14,19723.18
Gleb Dudin,1.64,121.7,1.64,2525,12,7,132,1.44,2454,,587,6,6,16.92,49.88,1.4,114.81,-1.93,1.7,1.58,121.4,122.1,3,4,19.67,2487.66,1.96,13181.18
Deborah Ebimobo-ere QUICKPEN,1.27,121.7,1.27,1968,12,4.5,122.6,0.98,2072,,524,6,6,26.94,27.4,0.81,119.4,-1.93,1.65,0.9,107.6,135.9,1.5,3,15.28,750.82,0.66,14255.96
Lucas Rusu,1.35,121.5,1.35,2291,12,4.5,132.4,1.12,2038,,594,6,6,63.18,42.51,1.08,183.57,-1.94,1.15,1.56,130.6,112.4,2.5,2,16.24,1807.42,1.16,33696.29
Trevor Vincent,1.43,121.2,1.43,2232,12,5.5,129.4,0.98,2226,,412,6,6,27.4,41.04,1.2,30.89,-1.96,1.38,1.48,115.5,126.8,1,4.5,17.2,1684.1,1.43,953.97
David Muradyan,1.33,120.5,1.33,1767,19,7.5,138,1.28,0,,778,9,10,32.02,40.4,0.91,125.82,-2,1.27,1.38,122.1,119.2,4,3.5,25.27,1632.24,0.83,15831.76
Thomas E Rendle,1.59,120.4,1.59,2353,11,5.5,126.7,1.17,2429,,451,5,6,19.75,37.7,1.2,14.24,-2.01,1.36,1.78,128.4,113.7,2,3.5,17.51,1421.13,1.43,202.73
Valery Atlas,1.53,120.2,1.53,2306,11,5,124.2,1.25,2425,,484,5,6,44.77,27.24,0.93,188.08,-2.02,2.14,1.03,100.2,136.8,2,3,16.88,742.11,0.86,35372.8
Erzhan Zhakshylykov,1.73,120.1,1.73,2554,12,10,146.1,1.18,2075,,506,7,5,24.48,45.75,1.41,53.8,-2.02,1.85,1.55,115.1,127,5,5,20.71,2093.31,1.98,2894.62
Borna Derakhshani,1.46,119.9,1.46,2313,12,5,117.2,1.67,2286,,561,7,5,25.82,36.43,1.31,32.75,-2.03,1.44,1.49,121.1,118.1,3.5,1.5,17.52,1327.18,1.71,1072.26
Aryaman Ganguly,1.53,119.8,1.53,2031,9,6,127.4,1.25,1826,,463,4,5,23.48,37.76,1.07,11.21,-2.04,0.83,2.09,150.3,95.4,4,2,13.78,1425.73,1.15,125.59
Anca-Claudia Cujba,1.05,119.8,1.05,1699,13,1,130.3,0.76,1783,,355,6,7,42.3,35.07,0.98,125.92,-2.04,1.28,0.84,111.1,127.2,1,0,13.61,1229.68,0.97,15856
Nilufarkhon Imomkuzieva,1.59,119.7,1.59,1906,20,15.5,157.4,0.95,2066,,1009,11,9,30.37,58.66,1.54,213.99,-2.04,1.8,1.33,109.9,131.7,7.5,8,31.74,3441.52,2.38,45789.73
Patrick Kawuma,1.23,119.5,1.23,1857,13,0.5,129.4,0.86,2235,,482,7,6,28.48,26.64,0.86,174,-2.05,0.96,1.55,127.8,109.8,0,0.5,16.03,709.83,0.74,30276.36
Killian Delaney,1.43,119.4,1.43,2182,12,4,141.6,1.33,2200,,477,6,6,32.72,40.91,0.97,123.99,-2.05,1.51,1.36,112,126.9,2,2,17.19,1673.42,0.95,15373.3
Zsoka Gaal,1.46,119.3,1.46,2170,13,8.5,150.6,1.02,2284,,562,7,6,22.13,52.86,1.31,101.99,-2.06,1.19,1.78,133.6,102.7,6,2.5,19.01,2794.38,1.72,10402.29
Genden Enkhbayar,1.41,119.1,1.41,1862,12,6,116.8,1.67,1837,,565,6,6,40.99,33.45,0.98,188.71,-2.08,1.09,1.74,138.4,99.8,4,2,16.97,1118.82,0.95,35609.99
Darmen Sadvakasov,1.66,119,1.66,2343,9,7,142.1,1.42,2575,,463,1,8,26.01,47.77,1.31,12.42,-2.08,3.08,1.48,83.8,123.4,1,6,14.91,2281.92,1.72,154.14
Elis Denele Dicen,1.3,119,1.3,2037,11,3,127.6,0.81,1917,,495,4,7,136.83,36.44,0.96,236.46,-2.08,1.08,1.42,125.9,115.1,1,2,14.3,1328.09,0.91,55913.61
Assel Lesbekova,1.58,118.8,1.58,2126,10,5.5,130.8,1.14,1950,,403,5,5,93.67,40.9,0.98,182.62,-2.09,1.75,1.41,119.1,118.5,4,1.5,15.82,1673.07,0.95,33350.01
Sumiya Bilguun,1.64,118.3,1.64,2439,12,7,126.3,1.64,2388,,638,6,6,25.31,34.48,1.15,156.59,-2.12,1.56,1.73,127,109.7,4,3,19.73,1188.53,1.31,24519.45
Ben J Purton,1.4,118.3,1.4,2148,9,2.5,127.3,0.87,2102,,351,2,7,32.97,30.55,0.96,128.55,-2.12,0.77,1.58,137.8,112.8,0,2.5,12.6,933.06,0.92,16524.97
Kuka Kyle,1.16,118.2,1.16,1757,13,1,116.6,1.33,1681,,446,6,7,32.74,19.69,0.52,408.58,-2.12,1.16,1.15,118.6,117.8,1,0,15.04,387.56,0.27,166936.23
Robert Skytte,1.33,118.1,1.33,1999,13,3.5,121.9,1.58,2029,,473,6,7,30.96,24.11,0.78,112.15,-2.13,1.16,1.47,124.6,112.6,2,1.5,17.23,581.4,0.61,12576.52
Jinghan Cameron Goh,1.23,117.6,1.23,1962,11,1,132.2,0.99,2039,,492,5,6,18.11,29.1,0.78,36.46,-2.16,1.62,0.91,105.1,128,0,1,13.56,846.53,0.6,1329.28
Eline Roebers,1.63,117.4,1.63,2253,14,9.5,142.6,1.26,2349,,632,8,6,34.72,52.83,1.49,94.32,-2.17,1.14,2.29,134.8,94.2,6,3.5,22.84,2791.1,2.22,8895.62
Wadim Rosenstein,1.56,117.4,1.56,1701,20,10.5,134.4,1.3,1722,,350,4,4,27.96,42.88,1.18,142.28,-2.16,1.06,2.04,131.4,103.4,2.5,2.5,12.4,1839.05,1.38,20244.16
Anna Muzychuk,1.55,117.4,1.55,2248,8,5,125.2,1.44,2406,,824,10,10,30.19,44.12,1.15,130.31,-2.16,1.47,1.64,123.4,111.5,6.5,4,31.17,1946.9,1.33,16979.55
Zisis Tsaknakis,1.53,117.2,1.53,2249,11,6,135.3,1.22,2129,,541,4,7,25.1,53.41,1.59,211.4,-2.18,0.78,1.96,144.8,101.3,2.5,3.5,16.85,2852.53,2.52,44691.71
Anton Frank,1.47,117.2,1.47,2242,13,4.5,131.9,1.06,2086,,558,6,7,30.21,39.07,0.94,157.36,-2.17,1.73,1.24,106.7,126.3,2,2.5,19.07,1526.16,0.89,24761.03
