Player,avg_gi,avg_missed_points,TPR,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Tuan Minh Le,130,1.31,2545,10.53,11,8,158.1,0.57,2503,601,7,4,9.55,56.52,1.87,11,-1.48,1.84,0.39,116.7,153.4,5,3,14.42,3194.28,3.51,121.05
Alexander Shabalov,126.1,1.31,2387,39.58,10,5,139.8,0.91,2526,359,5,5,19.94,39.2,0.93,52.84,-1.69,1.56,1.05,110.1,142.2,1.5,3.5,13.05,1536.3,0.86,2791.59
Stephen Dishman,121.4,1.31,1708,78.35,8,2,134.3,1.09,2266,416,3,5,20.64,35,0.69,90.42,-1.95,1.13,1.41,134.5,113.5,1.5,0.5,10.46,1224.98,0.47,8176.43
Wadim Rosenstein,118.5,1.31,1459,141.54,12,4,124.4,1.21,1704,623,6,6,42.39,39.76,0.94,237.38,-2.1,1.42,1.19,112.2,124.8,1.5,2.5,15.7,1580.82,0.88,56346.94
Amina Kairbekova,128.6,1.32,2278,46.14,7,4,153.8,1.11,2280,325,3,4,16.26,43.64,0.99,73.64,-1.56,1.33,1.32,128.8,128.4,1.5,2.5,9.27,1904.85,0.97,5422.42
Ngoc Hai-Dang Ho,115.4,1.32,1862,75.62,7,1.5,115.8,1.18,1981,332,2,5,35.36,21.41,0.52,86.9,-2.28,1.82,1.11,100.5,121.3,0.5,1,9.21,458.52,0.27,7551.03
Marta Garcia Martin,126.2,1.33,2239,125.32,11,8.5,157.6,0.81,2262,449,6,5,26.03,41.08,1.11,187.44,-1.69,1.14,1.56,132.3,118.9,5.5,3,14.66,1687.9,1.24,35134.59
Ali Aras Yildiz,123.6,1.33,1800,27.55,12,7.5,145.8,0.66,1835,665,5,7,12.34,45.71,1.29,36.98,-1.83,2.28,0.65,96.4,143,3.5,4,15.99,2089.18,1.66,1367.82
Alexander Reprintsev,122.5,1.33,2214,60.5,6,3,138.5,0.88,2299,325,3,3,17.05,43.26,1.09,112.23,-1.89,2.03,0.63,100.1,144.9,1.5,1.5,7.97,1871.82,1.19,12595.23
Ali Mortazavi,121.8,1.34,1978,23.22,7,2.5,131.7,1.12,2392,294,2,5,22.46,32.41,0.73,12.77,-1.93,1.03,1.46,128.8,119,0.5,2,9.37,1050.13,0.54,163.1
Sabrican Onay Yontar,119.1,1.34,1905,110.76,8,4.5,114.2,1.42,1870,388,5,3,16.88,36.3,1.03,174.75,-2.08,1.18,1.62,124,110.8,2.5,2,10.75,1317.38,1.07,30537.46
Alfred Soulier,125.9,1.35,1972,119.23,7,5,132.3,0.77,2042,379,3,4,29.15,33.18,1.09,128.89,-1.71,1.69,1.09,111.7,136.4,2,3,9.42,1101.15,1.19,16612.16
Jorden Van Foreest,132.1,1.36,2628,76.62,12,6,132.1,1.38,2640,607,6,6,22.04,26.21,0.99,148.87,-1.37,1.27,1.45,134.5,129.7,3,3,16.31,687.22,0.98,22162.65
David George Samir,128.2,1.36,2153,96.94,11,7.5,138.5,1.06,2234,581,6,5,18.54,40.43,1.24,127.81,-1.58,1.71,0.94,115,144,3.5,4,14.97,1634.19,1.54,16335.48
Zisis Tsaknakis,130.6,1.37,2304,47.89,10,6.5,129.8,1.18,2130,545,5,5,20.27,24.73,0.78,55.09,-1.46,1.36,1.38,122.4,138.7,2,4.5,13.69,611.37,0.62,3034.59
Anna Zatonskih,119.5,1.37,2120,114.59,12,5,131.3,1.22,2255,541,6,6,22.5,40.33,1.13,240.02,-2.05,1.66,1.08,119.2,119.8,4,1,16.45,1626.62,1.27,57608.58
Joel Bird,114.1,1.37,1820,125.75,6,1.5,117.2,1.27,1927,285,3,3,26.3,31.86,0.73,166.83,-2.35,1.18,1.56,120.4,107.8,0.5,1,8.21,1014.92,0.54,27833.71
Dion Krivenko,112.8,1.37,1878,108.78,8,0.5,111.6,1.33,2221,335,4,4,28.95,25.56,0.65,171.82,-2.41,1.44,1.31,107.4,118.2,0,0.5,10.99,653.19,0.42,29520.98
Naranbold Sodbilegt,123.6,1.38,2166,20.56,12,8,141.2,1.24,1946,579,6,6,17.36,39.71,1.25,16.27,-1.83,0.72,2.03,142.8,104.4,4.5,3.5,16.52,1576.53,1.57,264.86
Eric Hansen,120.6,1.38,2324,59.41,9,4,118.4,1.6,2582,383,5,4,15,30.12,0.96,125.76,-1.99,0.96,1.89,134.9,102.7,3,1,12.38,907.1,0.92,15814.56
David R Norwood,146.8,1.39,2599,28.53,8,6.5,146.4,1.32,0,413,6,2,21.26,8.93,0.57,33.43,-0.58,1.56,0.88,145.5,150.6,5.5,1,11.13,79.82,0.33,1117.29
Max Pert,124.1,1.39,2116,128.92,6,3,132.2,1.35,1940,299,2,4,112.6,29.98,0.67,119.42,-1.8,1.21,1.48,132.2,120.1,1,2,8.35,898.62,0.45,14260.04
Sohum Lohia,120.2,1.39,2187,16.03,12,6,130.8,1.02,2097,652,7,5,14.5,41.87,1.24,10.51,-2.01,1.74,0.9,111.1,133.1,3.5,2.5,16.69,1753.03,1.54,110.46
Nodirbek Abdusattorov,138.7,1.4,2774,34.66,12,8,141.4,1.25,2732,806,5,7,14.14,18.47,0.63,55.45,-1.02,1.08,1.64,145.2,134.1,3,5,16.86,341.04,0.4,3074.42
Trevor Vincent,132.1,1.4,1976,106.97,11,3,134.6,1,2226,444,5,6,33.38,22.37,0.92,136.52,-1.37,0.96,1.77,141.4,124.5,1,2,15.4,500.23,0.84,18637.08
Shreyas Royal,123.2,1.4,2358,137.78,8,3.5,117.9,1.41,2372,409,4,4,38.04,31.05,0.84,187.54,-1.85,1.96,0.83,99.4,147,0.5,3,11.16,964.17,0.7,35169.68
Theodor Stein,116,1.41,1571,174.91,7,1,126,1.23,1933,407,5,2,23.21,23.99,0.81,227.7,-2.24,1.55,1.05,114.2,120.3,1,0,9.87,575.54,0.66,51847.4
Georgiana-Steluta Morea,122.7,1.43,1680,91.39,11,5.5,130.5,1.45,1929,512,5,6,30.2,27.02,0.84,129.67,-1.88,1.12,1.69,131.9,115.1,3,2.5,15.72,730.25,0.7,16813.12
Kazybek Nogerbek,135.4,1.45,2648,33.19,12,8,140.2,1.08,2531,617,6,6,19.22,21.34,0.84,47.88,-1.2,1.53,1.36,137.1,133.6,5,3,17.36,455.43,0.7,2292.8
Andre Kunz,124.7,1.45,2091,58.21,7,1.5,126.8,1.08,2128,330,2,5,26.44,30.71,0.8,101.9,-1.77,1.37,1.49,136.8,119.8,0.5,1,10.18,943.01,0.63,10384.54
Eline Roebers,124.5,1.45,2297,19.3,12,7,132.5,0.98,2404,640,6,6,17.77,32.76,0.92,8.54,-1.78,1.42,1.47,123.5,125.5,3,4,17.35,1073.18,0.85,72.98
Emir Beknazarov,117.4,1.45,1820,123.09,7,2,129.3,1.42,1870,265,3,4,49.58,34.96,0.83,139.05,-2.17,1.33,1.54,136,103.4,2,0,10.16,1222.31,0.69,19335.14
Boris A Zlotnik,117,1.45,1622,114.37,7,2,118.7,1.17,2349,418,4,3,30.97,37.28,0.7,120.59,-2.19,1.01,2.05,142.3,83.2,2,0,10.17,1389.71,0.49,14542.98
Maxim Rodshtein,126.5,1.46,2519,37.6,10,5,131.2,1.4,2603,486,5,5,23.42,30.33,0.91,49.37,-1.68,1.15,1.77,140.7,112.2,3.5,1.5,14.62,919.68,0.82,2437.85
Platon Kiritshenko,121.7,1.47,1659,134.18,8,4.5,110.4,1.54,1732,372,4,4,26.06,35.74,0.89,271.36,-1.93,1.43,1.51,123.4,120,2.5,2,11.77,1277.5,0.8,73636.79
Carmel Barwick,134.2,1.49,1230,126.18,10,3.5,134.6,1.2,1915,491,5,5,29.64,23.79,1.08,175.54,-1.26,1.73,1.24,132.1,136.3,2.5,1,14.86,566.02,1.17,30814.02
Sarbartho Mani,121.5,1.49,1811,36.88,12,7.5,120.6,1.62,1871,588,6,6,19.06,36.93,1.06,53.84,-1.94,1.23,1.74,129.5,113.5,4.5,3,17.83,1363.52,1.11,2898.49
Leonid Volkov,117.3,1.49,1621,111.96,12,6.5,120.8,1.35,1833,623,6,6,27.78,35.47,0.94,136.1,-2.17,1.57,1.4,116.6,118.1,4.5,2,17.84,1258.32,0.89,18522.15
Pavel Eljanov,121.5,1.5,2445,77.65,9,3.5,120.8,1.46,2614,519,5,4,20.71,32.79,0.93,106.14,-1.95,1.24,1.83,130.1,110.8,2.5,1,13.51,1074.91,0.87,11266.56
Lucas Torres,115.4,1.5,1692,81.3,12,6,117.8,1.36,2031,566,7,5,37.42,45.87,1,81.39,-2.27,1.47,1.55,119.6,109.6,3.5,2.5,18.03,2104.48,1,6623.9
Mei-En Emmanuelle Hng,115.2,1.5,1968,70.57,10,3.5,126.6,1.22,1994,511,5,5,28.84,31.37,0.98,108.78,-2.28,0.98,2.02,131.7,98.7,1.5,2,14.97,984.39,0.97,11833.15
Jonah B Willow,114.1,1.5,2152,45.25,11,4,116.8,1.42,2322,547,5,6,29.57,37.06,0.99,51.4,-2.34,1.17,1.77,125.9,104.2,2.5,1.5,16.48,1373.1,0.97,2641.67
Qixuan Han,116.7,1.51,1672,105.94,11,6,132.8,1.11,1831,499,5,6,30.76,45.79,1.31,142.4,-2.2,1.09,1.87,126,108.8,2.5,3.5,16.64,2096.5,1.72,20278.47
Arthur Kogan,119.3,1.53,2338,77.31,8,2.5,121.6,1.28,2455,340,4,4,26.17,25.32,0.65,136.41,-2.06,1.56,1.5,117.6,121,1,1.5,12.25,641.04,0.42,18608.06
Assel Lesbekova,117.9,1.54,1592,225.58,6,2,121.6,1.43,2004,266,3,3,117.79,19.84,0.55,260.65,-2.14,1.56,1.52,121.6,114.1,1,1,9.22,393.71,0.31,67937.46
Natasha K Regan,112.9,1.54,1781,311.07,9,3.5,109.6,1.3,1905,420,4,5,428.89,28.26,0.96,282.26,-2.41,1.3,1.73,112.6,113,1,2.5,13.88,798.79,0.91,79667.92
Yuanyuan Xu,122.7,1.55,2321,71.98,10,5,128.1,1.44,2251,523,4,6,26,29.4,1.02,118.23,-1.88,2.2,1.12,107.5,132.9,3,2,15.52,864.39,1.03,13979.29
Patryk Cieslak,123.5,1.58,2393,64.33,12,8.5,128.2,1.42,2220,786,6,6,18.37,38.37,1.04,92.09,-1.84,1.2,1.96,137.7,109.4,4.5,4,18.99,1472.55,1.08,8480.5
Magdalini Mihailidou,114.8,1.59,1545,179.43,7,2.5,119.5,1.17,1822,310,2,5,219.32,42.92,1.2,175.37,-2.31,1.93,1.46,95.5,122.5,1,1.5,11.15,1841.99,1.45,30755.84
Daniel Howard Fernandez,115.8,1.61,2296,54.3,10,3,107.2,1.72,2380,522,5,5,28.58,27.84,0.96,69.18,-2.25,1.64,1.58,112.4,119.3,1,2,16.07,775.24,0.93,4785.9
Zalkar Kurbanbaev,112.2,1.61,2201,76.22,7,2,113.5,1.65,1848,348,4,3,35,36.66,0.89,121.89,-2.44,1.54,1.71,122.4,98.7,2,0,11.29,1343.79,0.79,14858.2
Harold Wanyama,108.1,1.61,2096,72.27,11,3,108.9,1.4,2246,463,5,6,35.67,43.83,1.13,92.47,-2.67,1.68,1.55,100.2,114.7,1,2,17.67,1921.13,1.27,8551.23
Michael Ziems,111.3,1.62,1792,128.02,9,4,111.3,1.42,1890,505,5,4,30.07,37.2,1.06,177.78,-2.49,1.39,1.9,117.3,103.8,2,2,14.57,1383.83,1.11,31606.18
Noam Sason,107.8,1.62,2080,86.07,8,2,110.2,1.51,2077,422,4,4,37.89,38.03,1.09,103.16,-2.68,1.56,1.69,102.9,112.6,0,2,12.98,1446.11,1.18,10642.12
Bodhana Sivanandan,112.8,1.63,1780,91.89,10,3.5,126.2,1.44,2052,535,7,3,24.43,43.37,0.99,148.36,-2.41,1.18,2.69,129.7,73.5,2.5,1,16.34,1881.25,0.98,22009.43
Cristian Araya Fuentes,109.1,1.63,1724,46.97,11,4,121.4,1.55,1945,435,5,6,22.8,49.26,1.2,67.58,-2.62,1.54,1.7,116.3,103,2.5,1.5,17.93,2426.09,1.43,4567.53
Aldiyar Sailaubay,115.5,1.65,1691,40.13,12,5.5,120.4,1.24,1831,622,6,6,25.04,39.56,1.04,51.55,-2.27,1.85,1.46,107.7,123.3,3,2.5,19.84,1564.63,1.08,2657.88
Keti Tsatsalashvili,109,1.66,2080,26.35,10,4,132,1.34,2254,512,5,5,23.88,50.91,1.28,76.01,-2.62,1.56,1.75,105.4,112.6,1.5,2.5,16.58,2591.98,1.63,5776.82
Valeriu Mindru,105.7,1.66,1344,30,6,2,115.5,1.38,1840,215,5,1,30.53,57.44,1.56,13.35,-2.8,1.89,0.54,99.4,137.5,2,0,9.97,3299.59,2.44,178.3
Sofia Blokhin,107,1.67,1989,72.66,8,2,110.8,1.64,2099,446,4,4,40.17,31.81,0.86,63.69,-2.73,1.71,1.62,113.4,100.5,2,0,13.33,1012.14,0.74,4056.9
Ilya Gurevich,132.2,1.7,2306,52.92,6,2,129,1.96,0,283,4,2,23.21,19.13,0.89,74.88,-1.37,1.52,2.07,138.8,119.2,2,0,10.2,365.99,0.8,5606.9
Aziz Degenbaev,108.7,1.71,2179,142.73,9,3,132,1.51,2252,466,4,5,40.42,49.38,1.48,160.93,-2.63,2.21,1.31,90.8,123,1.5,1.5,15.37,2438.41,2.19,25899.06
Sami Mortazavi,112.2,1.72,1668,88.86,11,5.5,122.4,1.57,1714,468,5,6,35.71,40.77,1.01,161.91,-2.45,2.11,1.4,90.7,130.1,1.5,4,18.93,1662.42,1.01,26216.15
Zoe Veselow,120.7,1.75,2104,1.24,6,5,149,1.23,1775,267,2,4,23.32,64.32,1.71,62.09,-1.99,1.06,2.1,137.9,112.1,1.5,3.5,10.52,4137.1,2.91,3855.45
August Jalving,104.3,1.75,1839,77.73,10,4,121.1,1.75,1893,560,5,5,23.04,51.37,1.25,135.57,-2.87,2.1,1.41,83,125.5,1,3,17.54,2638.98,1.55,18379.91
Martin Yatskar,108,1.76,2216,41.48,7,2,110,1.88,2223,307,5,2,40.69,18.25,0.7,14.41,-2.67,1.44,2.55,115.5,89.3,1,1,12.32,333.08,0.49,207.73
Elim Keneshbekov,101.8,1.76,1885,26.6,6,1.5,98.4,1.69,1832,320,3,3,29.62,37.84,0.79,8.84,-3.01,1.57,1.94,106.2,97.3,0.5,1,10.54,1432.17,0.62,78.08
Gennadie Slavin,126.8,1.78,2030,49.28,9,3.5,134.9,1.71,2207,359,3,6,30.79,17.27,0.91,68.63,-1.66,1.9,1.72,126.8,126.8,2,1.5,16.04,298.41,0.83,4710.73
Emir Sharshenbekov,109.9,1.82,1731,85.88,6,2,124.2,1.7,2265,285,3,3,50.74,34.91,0.82,80.18,-2.57,1.8,1.84,126,93.9,2,0,10.93,1218.42,0.68,6428.06
Gautam Jain,105.8,1.82,1921,79.52,8,5,132.4,1.16,1918,388,4,4,24.28,65.42,1.69,104.76,-2.79,1.68,1.96,115.2,96.5,3.5,1.5,14.59,4280.23,2.84,10975.04
Nadia Jaufarally,95.5,1.82,1342,88.93,8,0.5,105.5,1.48,1901,349,4,4,33.34,42.12,1.19,110,-3.35,2.3,1.33,78.9,112.1,0.5,0,14.52,1774.21,1.41,12099.94
Imogen A L Camp,108.6,1.83,1348,33.02,8,2.5,105.7,1.41,1805,361,4,4,28.54,36.78,1.26,82.84,-2.64,2.18,1.49,104.9,112.4,1.5,1,14.66,1352.44,1.6,6862.48
Deborah Ebimobo-ere QUICKPEN,102.6,1.83,1911,229.92,11,3.5,120.8,1.25,2077,601,6,5,38.56,38.15,1.19,359.01,-2.97,1.66,2.04,112.2,91,2.5,1,20.13,1455.17,1.42,128886.19
Aizhan Sezdbekova,112,1.85,1749,169.85,7,4.5,131.5,1.97,1793,316,4,3,29.92,59.58,1.42,285.78,-2.46,2.36,1.18,93.6,136.7,2,2.5,12.97,3549.27,2.02,81671.59
Matthew Dishman,98.1,1.85,1807,110.56,6,2.5,96.1,2.05,1901,291,3,3,46.94,33.22,1.03,113.54,-3.21,1.56,2.15,99.2,97,1,1.5,11.12,1103.46,1.06,12891.62
Johannes Florstedt,103.8,1.86,2127,55.3,9,2.5,89.3,2.28,2334,404,4,5,32.28,39.68,1.05,75.43,-2.9,1.5,2.14,115,94.8,1,1.5,16.7,1574.26,1.1,5689.58
Almos Kiran Marton-John,98.1,1.88,1703,89.36,12,4,119.5,1.36,1909,701,6,6,28.71,55.4,1.34,139.2,-3.21,1.76,2,108.1,88.1,2.5,1.5,22.53,3069.41,1.81,19375.72
Yuri Dr Agafonov,97.6,1.89,1933,26.45,8,3.5,115.8,1.39,1987,379,4,4,17.62,59.26,1.58,21.55,-3.23,2.53,1.25,78.4,116.7,1.5,2,15.12,3511.98,2.5,464.44
Genden Enkhbayar,121.5,1.9,1537,151.2,12,3.5,131,1.94,1837,626,6,6,124.28,33.49,1.17,132.81,-1.95,2.14,1.66,111.5,131.4,1.5,2,22.81,1121.74,1.36,17637.43
Nikola Stojsin,106.7,1.92,1711,157.46,11,5.5,116.9,1.55,1789,523,5,6,58.65,42.34,1.25,190.04,-2.74,2.02,1.83,104.1,108.8,3,2.5,21.1,1792.87,1.56,36116.72
Wojciech Smolinski,97.8,1.98,1828,62.97,12,5.5,107.2,1.64,1929,592,6,6,30.46,45.68,1.25,87.58,-3.22,2.04,1.92,94.8,100.8,2,3.5,23.71,2086.76,1.56,7670.92
Frankie Badacsonyi,105.2,2.01,1798,19.35,6,2.5,118.6,1.84,1947,327,3,3,13.14,59.25,1.74,16.51,-2.82,2.63,1.39,90.6,119.8,1.5,1,12.07,3510.38,3.03,272.51
Kamila Hryshchenko,100.3,2.04,2227,101.34,11,6.5,72.5,2.37,2054,523,5,6,31.4,45.12,1.3,154.03,-3.09,1.29,2.66,120.9,83.1,3,3.5,22.44,2035.94,1.7,23725.9
Robert Ruck,106.9,2.06,2379,17.6,6,3,129.7,1.63,2460,379,3,3,9,76.3,2.22,15.3,-2.73,0.92,3.2,143.6,70.2,1.5,1.5,12.34,5822.37,4.92,234.05
Alina Rath,100.5,2.06,2044,110.58,9,4.5,107.3,1.5,2038,524,4,5,30.58,55.72,1.22,155.3,-3.08,1.99,2.12,104.2,97.6,2,2.5,18.56,3105.27,1.49,24119.22
James Moreby,93.8,2.08,2104,43.89,7,2,102.2,1.55,2210,383,4,3,22.19,51.68,1.5,39.22,-3.44,2.07,2.08,94.1,93.3,1,1,14.53,2670.97,2.24,1538.25
Aimonchok Zhunusbekova,102.4,2.12,1660,151.09,7,4.5,103.2,1.47,1716,297,2,5,48.74,57.96,1.43,214.11,-2.98,1.17,2.5,130.4,91.2,1,3.5,14.85,3359.56,2.03,45843.47